id,pred
801,94829.70940691582
802,113251.5394100286
803,193788.77787810797
804,150017.7492363886
805,87159.78977166559
806,118986.0715510964
807,93372.95376291731
808,85697.29010452982
809,69857.61541321664
810,115606.25308129005
811,95886.13306295034
812,86350.11329274788
813,166778.2728740289
814,90102.57927069603
815,135796.50986124156
816,117926.32451829105
817,178039.5097480542
818,93700.89078663918
819,188704.3511431371
820,123100.95360071585
821,210005.69532196876
822,106282.26290129707
823,105009.40175470547
824,151381.06618065713
825,104194.71224339306
826,101066.67640587245
827,72115.8798598838
828,91282.83833965729
829,109860.0757168429
830,123665.49824519269
831,213032.9528544019
832,64739.97294244147
833,87877.19343628478
834,111056.96056743385
835,116861.93740195362
836,108986.20708211372
837,143711.3343477873
838,117112.321963483
839,100382.37868322153
840,122247.04938007751
841,93563.26617971016
842,151729.7807780956
843,112606.36047229171
844,129700.02231713501
845,129992.86730064359
846,153881.94958872395
847,133583.40050276788
848,91024.35521478788
849,95997.1443068115
850,173502.30035900977
851,180344.067549814
852,100355.4625238995
853,131668.14881363
854,167102.80851029512
855,80068.86365515226
856,128852.19739217358
857,149208.84107797034
858,98212.27894215612
859,88792.2233512525
860,132488.20974578336
861,112443.27302028239
862,139708.85641060537
863,104516.19031809364
864,196970.61771832686
865,113044.16931938031
866,190586.3691848833
867,123352.42118351953
868,96949.39647708624
869,120743.51764042722
870,154116.7334905169
871,112504.32405509753
872,215661.13836198533
873,234713.23810650874
874,83455.6678487768
875,94552.0876273748
876,213913.48280308908
877,103401.73921022285
878,91282.83833965729
879,183993.124004588
880,107521.4652106124
881,149480.46908402815
882,98998.29653021786
883,98059.14925333695
884,60210.88419080351
885,165480.60566976434
886,93210.91385129374
887,95494.09645665856
888,140801.58098468278
889,160330.66060008947
890,124794.58753414638
891,98305.33163276757
892,205415.4547554911
893,143416.24080413952
894,115395.18516270583
895,89939.60531025962
896,87075.3277474714
897,91308.009599871
898,86145.41510111373
899,145802.2755304668
900,93953.51154332608
901,150890.1630545752
902,168083.75352215208
903,243832.0372986584
904,128427.96011631889
905,170975.83841671376
906,78659.13871062268
907,77989.39965606853
908,116551.12196067441
909,136102.5896411431
910,120117.59755127598
911,169687.2265960835
912,77362.66571201733
913,148484.76604374172
914,160816.09037171165
915,86716.89357923507
916,131191.37350525986
917,121329.33300353773
918,86153.41254000319
919,106098.133562668
920,139293.4644049853
921,307781.2735741036
922,104819.92041126476
923,115692.0493794065
924,217379.9092283356
925,166516.40962660173
926,95955.33906032564
927,81223.78088211501
928,88520.15108798817
929,97060.7821721118
930,202066.3185766819
931,131427.12843905622
932,93212.11001757463
933,132743.67078997567
934,99971.73875040421
935,135869.85493915575
936,135623.19397736527
937,96505.84360686038
938,84637.702097696485
939,95964.02079768223
940,87389.74694114202
941,63405.60829918552
942,130258.6766240499
943,95411.05827502417
944,147946.1337037324
945,102347.21427923045
946,59981.58520142455
947,247484.58771412866
948,108235.35919838329
949,219834.28305122908
950,112847.18483770313
951,130015.8624605164
952,98628.32693029754
953,137623.64053030824
954,82793.0978156554
955,165981.76069232868
956,187547.30185221275
957,125715.86097294278
958,121096.68937249016
959,96770.83907536697
960,106741.63890749961
961,88828.6545188597
962,100634.13785303384
963,188843.66170795215
964,236413.0551181035
965,66183.21225869074
966,104916.66642290633
967,104891.31036491669
968,94127.27769361692
969,168836.62968735676
970,86026.02006481937
971,138141.21607457474
972,119154.9030262432
973,222586.1725664395
974,92629.54221598548
975,156149.59648478124
976,109895.9652005299
977,111715.89067414193
978,141866.61056496575
979,133288.5948462505
980,92827.63063726854
981,189946.274587885
982,105162.04465438146
983,181206.84281249065
984,110699.10772220511
985,96305.07022630796
986,128416.50789749902
987,141668.7539803004
988,143066.59030687856
989,107232.55994730955
990,130619.30480421474
991,144073.6227140352
992,93961.59635327756
993,314155.21115808934
994,150958.94906424498
995,231714.39384492394
996,228459.37130607525
997,108667.85186811513
998,139293.4644049853
999,104891.31036491669
1000,111767.48344645835
1001,118991.99216736807
1002,167022.93132614763
1003,229705.1751789595
1004,159222.48248772835
1005,254407.37971421704
1006,93035.50323321205
1007,152249.14490914205
1008,89847.79432032886
1009,108130.33987913723
1010,82295.7488008067
1011,103182.3994863357
1012,123095.63441875554
1013,181965.61601973884
1014,107867.54928523791
1015,101046.31696885172
1016,150753.56206723815
1017,131023.21662163502
1018,97309.41617189208
1019,142974.65091625182
1020,141710.64659784827
1021,80046.88922202215
1022,84958.32898774068
1023,104101.01373766689
1024,169986.98969494412
1025,120341.07936030533
1026,63834.45318228705
1027,87846.17737504956
1028,88411.59262021212
1029,107664.97495292337
1030,92118.35281009483
1031,139055.01364923967
1032,94336.71189319459
1033,118977.87290300545
1034,63434.406425557565
1035,85035.19345158827
1036,95235.86493100296
1037,86464.29558974807
1038,73190.17434939882
1039,101028.6421445345
1040,122105.90874052653
1041,104991.64926626999
1042,93035.50323321205
1043,132964.34478778485
1044,107053.5388723542
1045,144634.62820998207
1046,190997.88087198092
1047,125331.1542629241
1048,70484.4919718143
1049,122822.22938387096
1050,129506.79090687819
1051,102648.63906647614
1052,90125.6479364878
1053,76808.98826347571
1054,135131.95708104502
1055,166586.64189946465
1056,98511.17144033103
1057,96531.48824725463
1058,131098.4809963554
1059,183896.41532270378
1060,108004.04984125728
1061,175271.3270678576
1062,146979.78954320122
1063,174673.2434334522
1064,253295.77860079613
1065,91948.24045564188
1066,81538.39458264667
1067,164123.95478331298
1068,122418.06481150095
1069,111810.06071118056
1070,94949.11946408823
1071,92108.48577127792
1072,109027.21037822007
1073,127998.84941801336
1074,158621.81652294658
1075,101882.00317895063
1076,249227.183201788
1077,100128.58868779242
1078,105925.45944746304
1079,87961.6976437082
1080,94381.82630046038
1081,180374.87119046086
1082,106564.33025750844
1083,86604.66640649713
1084,138903.79389684973
1085,150063.42139243428
1086,127224.77614970785
1087,80057.25876613404
1088,123860.86287514726
1089,97889.30086308019
1090,228275.7896605744
1091,129506.79090687819
1092,101965.13393382658
1093,87189.25913839042
1094,106778.1398811487
1095,106536.19516470609
1096,59773.963858128525
1097,249132.73093811888
1098,159733.17424179614
1099,86095.56017899886
1100,106994.07671527867
1101,161776.67259537755
1102,113795.47301827092
1103,133827.3018457736
1104,117489.60019477876
1105,103569.74677481921
1106,144394.30264998786
1107,171200.35435930686
1108,172885.09783466952
1109,138506.45937349554
1110,139071.79059876595
1111,104786.73530287715
1112,131373.29496467672
1113,270119.3378691934
1114,188072.86732385913
1115,101239.31954709464
1116,116999.5030655195
1117,123888.81987251434
1118,253447.35373702878
1119,117048.46461974923
1120,139142.03223200655
1121,209702.2437555506
1122,135747.9321185546
1123,149044.16960169328
1124,183240.36768672988
1125,136235.0220762603
1126,122063.3658009572
1127,95235.86493100296
1128,124254.29651035462
1129,184864.81133893644
