id,V_Preis
801,93674.90712099572
802,112336.81340007788
803,113718.68782939401
804,188778.87453115615
805,224268.22500158686
806,86071.58234584228
807,185512.24721508697
808,158195.61558200713
809,116745.48811854178
810,154634.31566304146
811,101740.46429749801
812,109205.46317444101
813,91339.717643032
814,85056.2284561284
815,186211.5927491166
816,100605.42251976301
817,90161.2756181123
818,149822.68238310868
819,121190.58466028901
820,45603.88588869273
821,132387.31927720425
822,104069.94029115817
823,145054.68666403127
824,101649.94643236243
825,154996.7044264217
826,121450.69507283812
827,102690.41097990041
828,132844.00529131797
829,105886.4927431721
830,184200.78696286285
831,188813.9231203732
832,71328.08445713275
833,126048.17159965879
834,140041.94023557627
835,116904.1274111852
836,96395.37879314623
837,79834.39409098997
838,124002.8276484597
839,93336.27970536148
840,90759.62910627273
841,124417.40508181357
842,100969.06839219098
843,95961.20396079728
844,142280.66138195805
845,110519.67642510346
846,107898.87253051018
847,202365.53036454017
848,161714.4229455537
849,129644.51592638495
850,71747.31923550717
851,126728.46402866463
852,176003.4848871845
853,161514.40844284385
854,121110.70016676467
855,111164.0673019325
856,81289.42527670717
857,163827.90326518068
858,193449.18017340035
859,83833.39301233964
860,84249.39137016029
861,120473.1160971711
862,173512.7050034793
863,203791.92551935744
864,222604.71582254
865,135469.88443861474
866,159840.84403066736
867,189516.31844396776
868,136906.80034507744
869,147126.22309421402
870,151500.52770423543
871,113975.19625373803
872,98845.40270120732
873,150825.13786806702
874,163133.03165430497
875,67823.43701040396
876,73119.05231476367
877,130642.52712575033
878,118391.6022709402
879,99786.24650783605
880,132786.6829399817
881,154416.86286021295
882,182000.35693231702
883,92287.4806450862
884,78585.08721621835
885,164941.8902124829
886,112375.78764076742
887,166309.07360529728
888,174053.2853414541
889,163111.07268170267
890,69913.87655645389
891,80800.50327958947
892,158071.85617638068
893,89717.58825745923
894,104751.19110699826
895,150623.4763795345
896,173651.48012516974
897,92818.95630353934
898,229660.70826967157
899,195603.97570102548
900,222446.82552792365
901,151171.78245991375
902,127371.44100747199
903,41571.0916611152
904,158732.01363296923
905,103287.37955168427
906,101889.20422525915
907,210522.0047123103
908,185645.85266110045
909,214511.57412672546
910,47426.94269644192
911,113750.15983315185
912,105140.61252925989
913,73756.92967797292
914,141543.52478351237
915,159123.06580231097
916,145255.06995157004
917,103513.68491387682
918,108885.28631105623
919,170598.1656433655
920,155997.83640779977
921,81237.7711322771
922,64929.77102803257
923,108725.20890944685
924,155795.26078741663
925,29945.402166542037
926,163895.39152001846
927,90533.43910800913
928,113971.40468495898
929,55270.75489116949
930,125802.89722025592
931,121521.47082646901
932,55552.21735726355
933,90560.939180378
934,115572.65952871357
935,94552.57543102221
936,155359.22476071212
937,135397.51063330914
938,108610.65470025108
939,89800.38085161816
940,121890.09921382753
941,79930.3203923642
942,185851.72117118214
943,117713.23113187647
944,88836.48951142048
945,71748.71745798108
946,94671.046669901
947,185587.1400101632
948,137953.38990964566
949,182176.06727350026
950,91202.54455942847
951,196570.3033906401
952,82816.88030030161
953,189448.02643553144
954,183844.2932651035
955,74378.02128001595
956,139744.11150458807
957,105222.10951697595
958,141580.15084061775
959,201435.5739777561
960,45736.80033907434
961,130940.50869016722
962,142080.42648998264
963,94458.0872273749
964,178973.9600247834
965,177680.5837392707
966,72977.96512900223
967,68644.5613105726
968,182154.12492448164
969,41971.78895515484
970,100770.83883781185
971,109027.22534137873
972,85271.8443846598
973,139775.03030293272
974,102911.12040096417
975,82965.31309479127
976,170307.11746048255
977,168216.56107285075
978,130305.12772754778
979,103140.73872059141
980,186935.01765777112
981,142581.32939023073
982,85578.53575320636
983,132819.43565120795
984,313328.90245370765
985,159822.1921338723
986,144701.27196839757
987,193907.07908972225
988,111957.1290969574
989,177443.3734345243
990,82827.84668114445
991,135373.2826523896
992,193420.39783639697
993,148422.60704138933
994,217672.4652469994
995,92713.90973175236
996,94961.20188709315
997,182359.59587868105
998,105109.5882818515
999,122912.29464742799
1000,95967.1151541355
1001,186429.6048148662
1002,163673.76277195968
1003,103688.47942557593
1004,91571.96819574038
1005,82532.91931345104
1006,177123.98229310327
1007,188482.78218685908
1008,94360.5184124812
1009,192626.39300739826
1010,105874.18840601342
1011,86530.23426353408
1012,182142.8132908825
1013,177302.78307982176
1014,133107.71048631953
1015,95835.72308637458
1016,94847.2473499726
1017,169042.63500802257
1018,205795.27253122942
1019,102379.30405044102
1020,84367.13207463188
1021,58851.12622839119
1022,123948.9517092011
1023,114876.82137183614
1024,111678.14527696815
1025,208935.06683045207
1026,162911.44023520825
1027,47244.989051480545
1028,155409.68237455693
1029,88281.81959329941
1030,101917.95547097317
1031,146578.00372713362
1032,103796.62951023389
1033,139055.16134455282
1034,102730.1367857391
1035,115411.7517557929
1036,131413.34766598165
1037,101151.52451963957
1038,193942.67591039176
1039,77904.8957450525
1040,150905.26888837028
1041,161101.44001117535
1042,122897.66756013794
1043,119389.13719232661
1044,175774.0668462508
1045,125783.7148395083
1046,72496.5574744103
1047,111100.06582048583
1048,79962.29468000703
1049,110341.03940685373
1050,107418.32285725139
1051,184826.58063260678
1052,162961.6669592697
1053,195328.59691458254
1054,119104.74506502913
1055,154762.6883029039
1056,182217.34652988054
1057,108204.78265066935
1058,128079.73193024531
1059,99648.7539084619
1060,101873.40045132885
1061,111140.07255920186
1062,125244.44580188813
1063,146940.751242965
1064,104552.67410491977
1065,213257.62335841404
1066,92264.11834197491
1067,299524.8683608122
1068,80830.43167209881
1069,190078.05847452255
1070,89342.46768956086
1071,164745.07435505607
1072,80487.57699155668
1073,118565.20234151384
1074,102225.67416505342
1075,168025.00114678164
1076,208414.45596054362
1077,80853.3950419835
1078,140036.15941922614
1079,177853.85449672586
1080,133312.04568446128
1081,128286.03294986013
1082,112568.96037833685
1083,110446.25001119927
1084,111469.69391187362
1085,77059.10404108581
1086,96196.72345605167
1087,143956.37068925533
1088,103097.86421113077
1089,184687.8472802809
1090,175747.78184320676
1091,110831.61510321849
1092,98965.15603041684
1093,116250.80961975468
1094,113623.92180407199
1095,113088.53848612902
1096,125815.47219098326
1097,205792.64083044234
1098,64655.1768131844
1099,158921.96128610047
1100,143971.4836418574
1101,171792.38505699547
1102,181470.75771750338
1103,67942.87907025871
1104,111568.95405230999
1105,87455.0775325573
1106,184505.94687002827
1107,197398.90409358605
1108,92249.45503657998
1109,184383.9614923587
1110,227161.70353496357
1111,149370.75868020253
1112,126805.97155302473
1113,170040.92287742032
1114,141913.35929931133
1115,95443.81303086423
1116,104911.94038738069
1117,90343.870344667
1118,188170.40908405467
1119,166883.2804576529
1120,70902.00104379539
1121,143213.13823044475
1122,97290.92698517651
1123,193979.1273610174
1124,107129.18473968761
1125,85354.42531616906
1126,166470.02884113012
1127,36650.96483372559
1128,153835.37435886325
1129,113032.60061918398
1130,160208.49833844023
1131,110897.65397909413
1132,85866.07652823045
1133,90542.9690204299
1134,96265.50667786936
1135,121204.72237423378
1136,137884.49361569248
1137,115737.05527481204
1138,194566.47001758986
1139,220356.34891446462
1140,179603.16760226063
1141,152897.18468482958
1142,196427.62801768573
1143,110950.9996396138
1144,243444.10471571193
1145,167464.01029725908
1146,66247.93662128311
1147,129436.7409043906
1148,124779.13197501306
1149,111533.41822742193
1150,96329.6696704298
1151,64100.12105720281
1152,138154.8013001818
1153,105017.65514635436
1154,122791.1913686919
1155,110726.90623295646
1156,151317.53047055937
1157,185987.77628964095
1158,154144.50769525467
1159,111822.68550968416
1160,93454.63480157463
1161,85184.78591213215
1162,97480.12119443029
1163,161245.92312625388
1164,74277.47958280695
1165,186480.77170059984
1166,252590.67677024344
1167,133051.14626316843
1168,124748.97805843735
1169,55570.64271749838
1170,48916.82496341134
1171,152994.0166768921
1172,123151.9562539243
1173,144209.53525295516
1174,143697.71411872236
1175,67342.14830703803
1176,106777.90563090229
1177,131772.81846767236
1178,99788.16099083622
1179,44317.627494944274
1180,222703.82847007576
1181,315600.8058329803
1182,244407.32327745474
1183,221543.7059390085
1184,86331.11921868543
1185,120533.88876489249
1186,65137.51216782424
1187,104383.5248906566
1188,152767.10130746476
1189,179582.3751954079
1190,110550.29658430013
1191,182019.08522045077
1192,84355.7704793272
1193,131329.71581552224
1194,85423.22488442087
1195,92581.89319957352
1196,97935.4008189178
1197,77593.03654384636
1198,203500.96080676015
1199,90505.66992166999
1200,175006.4537716941
1201,151575.14292407982
1202,86901.79063741805
1203,88003.98883436028
1204,88427.31575174863
1205,161259.64437374115
1206,166372.54642976832
1207,101092.15682297118
1208,147714.08152059035
1209,123850.39483221983
1210,64821.57046188705
1211,331389.70090642304
1212,141528.90357531272
1213,89613.60107856106
1214,320995.63836853125
1215,108786.25264272212
1216,132763.75179424803
1217,99435.78933912005
1218,157897.801354436
1219,88549.96696692647
1220,112482.41517294885
1221,125795.60180500931
1222,148872.30379746226
1223,186588.55041510286
1224,86619.65256254749
1225,171975.69911882712
1226,197190.00985505237
1227,72569.47235136549
1228,241762.22994100116
1229,94841.28704677022
1230,138185.77203001096
1231,135363.72829635814
1232,132804.68538853878
1233,102839.91112530699
1234,125872.96909544071
1235,135440.29070228912
1236,130236.92754977384
1237,172535.18257520607
1238,102574.12740422437
1239,114597.7735187096
1240,108862.41659308923
1241,163570.534593203
1242,92326.1763762841
1243,127857.09237612657
1244,126361.4881991289
1245,109764.4301518813
1246,136474.41727752343
1247,69568.63249779482
1248,135237.92960006665
1249,86129.72775064154
1250,72882.25211204076
1251,192779.95276982666
1252,158553.6126620254
1253,202321.06581020323
1254,74719.74792362716
1255,182668.66233194253
1256,153191.58762768566
1257,116131.18994125316
1258,194274.76798629528
