"","preis_pred","id"
"1",99862.1797848002,801
"2",127230.875311411,802
"3",190586.951321569,803
"4",149072.371160191,804
"5",81010.041465145,805
"6",128178.582020043,806
"7",90449.4130358897,807
"8",75404.5397462139,808
"9",37728.9171690814,809
"10",113261.370629466,810
"11",105694.411780006,811
"12",97322.2124806929,812
"13",163121.786615835,813
"14",92011.5216781028,814
"15",144696.98067899,815
"16",127270.332075976,816
"17",172430.519612198,817
"18",82945.4800713718,818
"19",192096.808462741,819
"20",134789.619150151,820
"21",201142.503808553,821
"22",101029.513109822,822
"23",92508.4370071981,823
"24",150339.89432634,824
"25",101564.200632609,825
"26",102822.37516494,826
"27",46044.3907899057,827
"28",115798.704688017,828
"29",110799.216212044,829
"30",120825.867240447,830
"31",198529.137572958,831
"32",76748.4456447682,832
"33",78525.0079465719,833
"34",108644.496831804,834
"35",119977.721491768,835
"36",114646.210543349,836
"37",158218.468160728,837
"38",125555.442384789,838
"39",108582.771327235,839
"40",121970.725898626,840
"41",114608.87203801,841
"42",161593.934225136,842
"43",109282.836460237,843
"44",135510.515039664,844
"45",120524.002387782,845
"46",161637.345001325,846
"47",130727.473304121,847
"48",91915.2340047466,848
"49",99578.5145549674,849
"50",174801.727435091,850
"51",172106.584425943,851
"52",98670.6612927807,852
"53",134037.105737489,853
"54",164772.561039733,854
"55",85326.7262359995,855
"56",133382.498182722,856
"57",152907.178423245,857
"58",98826.6911648792,858
"59",73969.3836482756,859
"60",134483.598267374,860
"61",114211.613452298,861
"62",149947.870421996,862
"63",113823.290381862,863
"64",196274.601427971,864
"65",116142.872761018,865
"66",181074.643520934,866
"67",131233.794889003,867
"68",91065.8171099815,868
"69",126051.932402208,869
"70",169205.517790617,870
"71",121849.827634602,871
"72",206249.862954951,872
"73",227509.860582779,873
"74",93201.5909147698,874
"75",87993.4991518551,875
"76",201473.021358642,876
"77",105556.635809545,877
"78",115798.704688017,878
"79",178865.745759718,879
"80",113003.336571461,880
"81",154521.893199637,881
"82",92286.8955064102,882
"83",104539.121057523,883
"84",48961.5637964273,884
"85",201628.497183491,885
"86",116538.89473403,886
"87",100072.193866978,887
"88",157486.022336654,888
"89",165013.097881935,889
"90",127268.282023409,890
"91",97219.1764417667,891
"92",192974.492298389,892
"93",144429.073084912,893
"94",110889.648349668,894
